PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
David Vondle,David Vondle,3009,,W,Fullerton,Ave,35,Logan Square,Fullerton/Milwaukee,,11/11/2008,Landlord,Green Roof,8175,10900,,,POINT (-87.702732968 41.924702707)
Rudy's Cyclery Inc,Rudolph H Kubica,5711,,W,Irving Park,Rd,38,Portage Park,West Irving Park,,03/16/2009,Commercial,Roof,7550,15100,,,POINT (-87.769970981 41.952869008)
Michael J Krepps DDS & Associates,Michael Krepps,3806,,W,63rd,St,23,West Lawn,63rd/Pulaski,05/18/2011,11/21/2011,Commercial,,5640,7520,,,POINT (-87.718223039 41.779003987)
Mehrab #1 Corp,Ajaz Khan,2433,,W,Devon,Ave,50,West Ridge,Devon/Western,05/01/2012,09/13/2012,Commercial,,55075,124405.48,20,8,POINT (-87.691324003 41.997481017)
Carmen's Beauty,Albert Badine,6810,,N,Sheridan,Rd,49,Rogers Park,Devon/Sheridan,03/05/2012,03/11/2013,Commercial,,36776.77,49035.69,3,5,POINT (-87.661385018 42.005901016)
Franconello Restaurant,Frank Ruffolo,10222,,S,Western,Ave,19,Beverly,Western/Rock Island,08/09/2012,07/23/2013,Commercial,carpentry and electrical work,100000,133977.28,0,13,POINT (-87.682022018 41.70749202)
Frank A Edmunds Co.,James Norbert Mann,6111,,S,Sayre,Ave,23,Clearing,Harlem Industrial Corridor,07/25/2013,01/22/2014,Industrial,fix/replace dock area,3450,6900,1,9,POINT (-87.795623964 41.780852993)
"Motiv Personal Training, LLC",Brian Lunt,2550,,W,Addison,St,47,North Center,Western Avenue (South),10/24/2013,05/14/2014,Commercial,"demolition, carpentry, masonry labor and materials for ground block wall, electrical, HVAC, plumbing, painting, sprinkler system, bathroom fixtures, suspended ceiling repairs and tile replacement, flooring (vinyl tile and carpet), and roofing",50000,117112.8,3,3,POINT (-87.69261096 41.947491012)
"AA Tempo Auto, Inc.",Vladimir & Natalie Tulman,3431,,N,Pulaski,Rd,30,Avondale,Avondale,07/02/2013,06/09/2014,Commercial,Masonry,39750,53000,4,6,POINT (-87.727229212 41.943674145)
"T & J Plumbing, Inc.",Catherine Freihage,5251,,W,Belmont,Ave,31,Belmont Cragin,Belmont/Central,03/25/2014,06/20/2014,Commercial,Overhead garage door,2287.5,3050,1,5,POINT (-87.758686006 41.938459008)
"3740 West Irving Park, LLC / DuSable Construction, Inc.",Bill Conforti,3740,3742,W,Irving Park,Rd,45,Irving Park,Irving Park/Elston,02/05/2014,09/11/2014,Commercial,"demolition, new roofing, and new gutters.  Address range is 3740-2 W. Irving Park Rd.",30921,53616,0,8,POINT (-87.722011994 41.953987992)
Crystal & Dominique House of Beauty/Master Thift Store,Audrey White,1730,1736,E,87th,St,8,Avalon Park,Stony Island/Burnside,10/08/2013,10/16/2014,Commercial,"roofing, carpentry, electrical, drywall, flooring, bathrooms, concrete, hot water tank, ceilings, lighting, and doors.  Address range is 1730-36 E. 87th St.",69300,92400,6,11,POINT (-87.581476982 41.737165005)
Irma Curiel,Irma Curiel,4106,,W,Armitage,Ave,35,Hermosa,Armitage/Pulaski,12/17/2013,01/08/2015,Commercial,"roofing; replacement of an I beam above first floor window system; tuck pointing on the western elevation, three new windows on second floor façade; new gutter and downspouts; masonry repairs to rear retaining walls; replacement of support columns in basement; replacement of basement door; reconstruction of the chimney; and scaffolding and permit expenses",23231.25,30975,0,3,POINT (-87.729402989 41.917404002)
"R.C. Industries, Inc.",Robert Calabrese,1420,,N,Lamon,Ave,37,Austin,North/Cicero,10/17/2014,04/07/2015,Industrial,"provide a new industrial-grade boiler system including burner, cast iron heat exchanger, and control systems; and installation of industrial-grade boiler system including all plumbing, gas connections, electrical supply, and tie-in to existing flue penetrations",12974.28,25948.56,0,11,POINT (-87.748978002 41.90657999)
Cole's Appliance & Furniture Co.,Barry S. Krasney,4026,,N,Lincoln,Ave,47,North Center,Western Avenue (South),05/20/2014,04/21/2015,Commercial,"exterior masonry, tuck-pointing, caulking, water proofing, pressure washing, overhead garage door, HVAC system, electrical repairs, lighting, removal of plywood, drywall, and plaster leaving existing roof and floor joists exposed, install partition walls, doors and painting",100000,140000,0,4,POINT (-87.67972303 41.954923999)
The Purple Dream Corp. dba Via Lima Restaurant,Enide Cadena,4020,4024,N,Lincoln,Ave,47,North Center,Western Avenue (South),03/25/2014,05/28/2015,Commercial,"partial electrical, plumbing, HVAC, concrete, and facade., flooring; HVAC; plumbing work and fixtures; electrical work; light fixtures; concrete; roofing; insulation; drywall; and painting.  Address range is 4020-24 N. Lincoln Ave.",100000,545752,25,0,POINT (-87.679576011 41.95478201)
Rudy's Cyclery Inc,Rudolph H Kubica,5711,,W,Irving Park,Rd,38,Portage Park,West Irving Park,03/31/2015,07/17/2015,Commercial,"furnish and install a new storefront system (frames, glass, and door) for 5711 W. Irving Park",7200,9600,0,7,POINT (-87.769970981 41.952869008)
"Boulevard Bikes, LLC",Kevin Womac,2535,,N,Kedzie,Blvd,32,Logan Square,Fullerton/Milwaukee,01/12/2015,10/05/2015,Commercial,"furnish and install a new storefront system (frames, glass, door). Located in unit 1.",5971.5,7962,2,5,POINT (-87.706535984 41.927713995)
"SKW Industries, LLC dba Progressive Coating",Stephen Walters,900,,S,Cicero,Ave,29,Austin,Roosevelt/Cicero,10/01/2014,08/28/2015,Industrial,"installation of a new roofing system including insulation, a new membrane with vapor venting, new flashings, and new aluminum termination bars around the perimeter of the roof",66843.5,133687,6,32,POINT (-87.74521897 41.868919009)
Justin Blair & Company,Marvin Bearak,4500,,W,31st,St,22,South Lawndale,Little Village,01/21/2015,10/16/2015,Industrial,demolition of existing roofing system and installation of new roofing system for 4500 W. 31st St. including repairs to roof drains and installation of new flashings,68149,370830,1,33,POINT (-87.73720302 41.837483981)
Modern Beauty Salon,Dennis Lhee,4310,,W,Lawrence,Ave,39,Albany Park,Lawrence/Pulaski,03/17/2015,12/02/2015,Commercial,"paving, HVAC, stairway, windows and doors, electrical, insulation, plumbing, drop ceiling, carpentry, floors, awning, masonry, roofing, and bath.",100000,137000,2,1,POINT (-87.736019999 41.968423013)
Electronic Connector Company,Bernard J. Gizzi,6332,,S,Central,Ave,13,Clearing,Archer/Central,01/13/2015,01/05/2016,Industrial,"removal of exterior signage on upper façade, repairs to damaged brick including tuckpointing and power washing, and electrical work to cap electrical supply used for old signage; installation of ten (10) double hung vinyl windows on upper façade including caulking and capping work",4750,9500,0,20,POINT (-87.762034995 41.776909014)
"The SMB Help Desk, Inc.",Marvin Korves,4147,,N,Ravenswood,Ave,47,Lake View,Ravenswood Industrial Corridor,10/06/2015,02/04/2016,Commercial,demolish old windows and install ten (10) replacement windows at 4147 N. Ravenswood #202,22224.38,29935.5,10,15,POINT (-87.673429981 41.957467991)
"Bernacki & Associates, Inc. & Oakley Interiors",Stanislaw Bernacki,424,,N,Oakley,Blvd,27,West Town,Kinzie Industrial Corridor,11/25/2014,02/25/2016,Industrial,"loading dock improvement, overhead doors, HVAC, plumbing, electrical, elevator, structural improvements.",58597.26,151809.45,4,12,POINT (-87.684555029 41.889328985)
"The New 400, LLC",Anthony Fox,6746,,N,Sheridan,Rd,49,Rogers Park,Devon/Sheridan,03/17/2015,03/18/2016,Commercial,"renovation of the four (4) theater rooms by removing the existing seating which was in disrepair, flooring work including smoothing the existing concrete floors and finishing with an epoxy topcoat, and installing four hundred (400) new fixed-back chairs into theater rooms by bolting them into the new floors",81014.63,126481,0,13,POINT (-87.661318969 42.004853991)
"Dee's Phase I, Inc. dba Putten's Pantry",Detongress Grayer,5449,,W,Division,St,37,Austin,Austin Commercial,05/19/2015,03/04/2016,Commercial,"roof tear off, repairs to wood decking as needed, mechanically fasten new fiber board and base sheet, new modified bitumen membrane system with new flashings and cant strips, an aluminum coating finish, and install new gutters and downspouts; masonry repairs on parapet walls in the rear of the building,",14349,19132,2,2,POINT (-87.762846028 41.902002004)
"Prodigy Child, Inc.",Shonzette Cheeks,1932,1934,E,79th,St,8,South Shore,Avalon Park/South Shore,02/16/2016,08/24/2016,Commercial,"an interior buildout for the daycare center including framing and drywall work, rough plumbing work for restroom and drinking fountain and installing a new furnace with connections to existing duct work, an interior buildout for the daycare center including framing and drywall work, rough plumbing work for restroom and drinking fountain and installing a new furnace with connections to existing duct work.  Address range is 1932-4 E. 79th St.",50000,78555,8,0,POINT (-87.57703097 41.75182399)
"Vent Products Co., Inc.",Dianna Ehrenfried,1901,,S,Kilbourn,Ave,24,North Lawndale,Roosevelt/Cicero,01/19/2016,09/22/2016,Industrial,"demolish existing roofing to decking; furnish and install new roofing insulation, bitumen base sheet and membrane, flashings, pitch pans, gutters, downspouts, and steel caps at 1901 S. Kilbourn only",150000,450531,4,32,POINT (-87.736405985 41.854594001)
"Patrick Mechanical, Incorporated",John Dunleavy,5825,5829,W,Irving Park,Rd,38,Portage Park,West Irving Park,06/11/2015,11/21/2016,Commercial,"installation of two (2) store front systems, installation of five (5) insulated glass windows with two (2) new commercial grade metal doors.  Address range is 5825-29 W. Irving Park Rd.",15037.5,20050,2,4,POINT (-87.773013025 41.952883006)
"Pilates Chicago, Inc.",Jennifer Zumann,6101,,N,Clark,St,48,Edgewater,Clark/Ridge,03/15/2016,12/15/2016,Commercial,Exterior awnings (frame only),6381.77,10634.52,3,3,POINT (-87.66965804 41.992870007)
Standard Steel & Wire,Dennis Hack,2450,,W,Hubbard,St,27,West Town,Kinzie Industrial Corridor,10/27/2015,01/20/2017,Industrial,"repairs to exterior windows at south and west elevations, repairs to siding material, repairs to cornice at south elevation, caulking around windows on south and west elevations, painting and finishing of siding, windows, and cornice at south and west elevations",14300,37380,2,48,POINT (-87.688781017 41.889821003)
AN' Exclusive Clothing,Nadejda Evmenenko,2472,,W,Foster,Ave,40,Lincoln Square,Lincoln Avenue,05/09/2016,07/07/2017,Commercial,"new storefront system including a new door, and plumbing work including a new water heater with new connections to the restroom. Located in suite 104.",8107.5,10810,0,1,POINT (-87.69193102 41.976167011)
"Dalia Food Market, Inc.",Mohammed Alamawi,4661,,N,Broadway,St,46,Uptown,Wilson Yard,01/31/2017,08/22/2017,Commercial,"Remove of and broken floor tiles and wood, install new floor.",16661.26,22215.01,2,2,POINT (-87.658127978 41.967028012)
"A-Ok Automotive, Inc.",Robert Harris,5805,,S,Archer,Ave,23,Garfield Ridge,Archer/Central,10/11/2016,10/05/2017,Commercial,"façade renovation including demolition of existing façade, construction of new brick walls, installation of new aluminum storefront frames, windows, and doors, removal and reinstallation of existing sign, and finishing work as needed; permanent security items (cameras and low-voltage wiring costs only); and architectural services.",68307.5,136615,3,12,POINT (-87.758539993 41.796015981)
"City News, Inc.",Joseph Angelastri,4018,,N,Cicero,Ave,45,Portage Park,Irving/Cicero,01/18/2017,10/05/2017,Commercial,installation of a new 3KW roof top mounted solar panel system along with associated electrical connections,43965,58620,2,12,POINT (-87.747729014 41.953930995)
"Stitch Me, LLC",Brenda Nelson,329,,W,18th,St,25,Lower West Side,Pilsen Industrial Corridor,03/01/2016,12/07/2017,Commercial,"furnish and install an HVAC system (new 3-ton unit with associated duct work, venting, and wiring); build-out of a restroom (build a partition wall, furnish and install toilet, pedestal sink, ceramic tile, light fixture, exhaust fan, and door); install new baseboards and casings; and painting of new restroom; located in Suite 308.",15675,23013.13,2,3,POINT (-87.637405986 41.857939009)
"4311 S. Halsted, LLC (Landlord)",Jim Limperis,4311,,S,Halsted,St,11,New City,47th/Halsted,04/17/2017,12/27/2017,Commercial,"façade improvements including removal of the siding, bricks, and storefront system and replacement with new bricks with stone caps, and a new storefront system including new windows and doors (the residential windows were not included in the cost of this project).",87350.63,116467.5,1,0,POINT (-87.645378014 41.815792998)
"Concept Laboratories, Inc.",Joel Heifitz,1400,,W,Wabansia,Ave,2,West Town,North Branch (South),11/08/2016,01/12/2018,Industrial,"furnish and install new insulation board and white panel overlay at underside of roof decking in assembly room; remove existing skylights and close up the openings (install rafters and plywood decking, base sheet, and modified bitumen cap sheets in openings), furnish and install three (3) 15-ton rooftop HVAC units and associated duct work, roofing repairs  at office and warehouse roof sections (remove gravel and debris; install new insulation, roofing membrane, and flashings; recaulk limestone cap joints)",150000,322555,8,81,POINT (-87.66304497 41.913702009)
"D&Z House of Books, Inc.",Dorota Kruczalak,5507,,W,Belmont,Ave,31,Belmont Cragin,Belmont/Central,03/28/2017,02/20/2018,Commercial,"replace existing siding on mansard-style roof system on front elevation with new stone veneer, replace brick at bottom of windows with tile to match existing  columns, and new flashing and copings on top wall, and install HVAC rooftop units (furnish and install one (1) 4-ton unit and one (1) 5-ton unit, piping, and wiring).",54862.5,74029,0,3,POINT (-87.764452001 41.93834799)
"Reggie's Bar & Grill, LLC",Robert D. Glick,2105,2109,S,State,St,3,Near North Side,Michigan/Cermak,06/13/2017,04/05/2018,Commercial,replacement of two HVAC rooftop units (a 12.5 ton and a 7.5 ton unit) including all gas and electrical hook-ups and replacement of associated ductwork as needed.  Address range is 2105-09 S. State St.,20500,45500,0,80,POINT (-87.626758035 41.853970011)
Kim Long 2 Inc.,Chau Quach,1054,,W,Argyle,St,48,Uptown,Hollywood/Sheridan,04/25/2017,05/04/2018,Commercial,furnish and install interior-mounted storefront security shutters,4225.5,5634,,,POINT (-87.657347036 41.973476001)
Jola & Hetman Deli Ltd,Jozef & Jolanta Ziuzia,5513,,W,Belmont,Ave,31,Belmont Cragin,Belmont/Central,07/10/2018,11/29/2018,Commercial,"Removal and replacement of flooring in rear kitchen including foundation reinforcement, new urethane mortar, regrinding as necessary and finishing with epoxy basecoat.",22440,29920,0,6,POINT (-87.764635984 41.938339985)
"Kappa Vis, Inc. dba Bake for Me",Joseph Kapacinskas,4305,,S,Halsted,St,11,New City,47th/Halsted,06/12/2018,02/08/2019,Commercial,"remove and replace bricks below ground-floor window at 4305 S. Halsted; demolish existing parapet wall at 4309 S. Halsted and rebuild with matching brick; remove and rebuild brick below 1st floor I-beam at 4309 S. Halsted with matching materials; grind, tuck point, and power wash existing bricks",17175,22900,0,24,POINT (-87.64536301 41.815926019)
"Hopleaf, Inc.",Michael Roper,5148,,N,Clark,St,40,Uptown,Clark/Montrose,04/03/2018,02/22/2019,Commercial,furnish and install a 75-panel solar photovoltaic array and tie in to electrical system,16738.25,66953,0,82,POINT (-87.668719016 41.975824988)
