community,Incentive Amount,Total Cost,Ratio
LOGAN SQUARE,8175,10900,0.75
PORTAGE PARK,7550,15100,0.5
WEST LAWN,5640,7520,0.75
WEST RIDGE,55075,124405.48,0.44270557856454557
ROGERS PARK,36776.77,49035.69,0.7500000509832735
BEVERLY,100000,133977.28,0.7463952096952557
CLEARING,3450,6900,0.5
NORTH CENTER,50000,117112.8,0.42693881454460997
AVONDALE,39750,53000,0.75
BELMONT CRAGIN,2287.5,3050,0.75
IRVING PARK,30921,53616,0.576712175470009
AVALON PARK,69300,92400,0.75
HERMOSA,23231.25,30975,0.75
AUSTIN,12974.28,25948.56,0.5
NORTH CENTER,100000,140000,0.7142857142857143
NORTH CENTER,100000,545752,0.18323341004705435
PORTAGE PARK,7200,9600,0.75
LOGAN SQUARE,5971.5,7962,0.75
AUSTIN,66843.5,133687,0.5
SOUTH LAWNDALE,68149,370830,0.18377423617290942
ALBANY PARK,100000,137000,0.7299270072992701
CLEARING,4750,9500,0.5
LAKE VIEW,22224.38,29935.5,0.7424088456848892
WEST TOWN,58597.26,151809.45,0.3859921763763718
ROGERS PARK,81014.63,126481,0.6405280635036092
AUSTIN,14349,19132,0.75
SOUTH SHORE,50000,78555,0.6364967220418815
NORTH LAWNDALE,150000,450531,0.33294046358630147
PORTAGE PARK,15037.5,20050,0.75
EDGEWATER,6381.77,10634.52,0.6000994873299407
WEST TOWN,14300,37380,0.3825575173889781
LINCOLN SQUARE,8107.5,10810,0.75
UPTOWN,16661.26,22215.01,0.7500001125365237
GARFIELD RIDGE,68307.5,136615,0.5
PORTAGE PARK,43965,58620,0.75
LOWER WEST SIDE,15675,23013.13,0.6811329010873358
NEW CITY,87350.63,116467.5,0.7500000429304313
WEST TOWN,150000,322555,0.46503697043914993
BELMONT CRAGIN,54862.5,74029,0.7410947061286793
NEAR NORTH SIDE,20500,45500,0.45054945054945056
UPTOWN,4225.5,5634,0.75
BELMONT CRAGIN,22440,29920,0.75
NEW CITY,17175,22900,0.75
UPTOWN,16738.25,66953,0.25
NORTH PARK,7500,15000,0.5
UPTOWN,44686.11,89372.21,0.5000000559458023
NEAR WEST SIDE,50000,437362.44,0.11432165962856801
ARCHER HEIGHTS,44700,101021,0.44248225616455983
HERMOSA,12675,16900,0.75
EDGEWATER,7617.25,10156.33,0.7500002461519072
CHATHAM,18047.7,36460,0.495
CHATHAM,18047.7,36460,0.495
LOGAN SQUARE,100000,441413.31,0.22654504912867263
ASHBURN,52033.58,69468.1,0.749028402964814
WEST ENGLEWOOD,34162.5,45500,0.7508241758241758
WEST TOWN,66519.9,73911,0.8999999999999999
ARCHER HEIGHTS,180827.5,401555,0.4503181382376013
WEST TOWN,84357.5,168715,0.5
CHATHAM,46125,61500,0.75
BELMONT CRAGIN,50000,174065,0.2872490161721196
BEVERLY,79209.78,158419.55,0.5000000315617612
PORTAGE PARK,17122.5,22830,0.75
NORTH CENTER,34656.91,69133.81,0.5013018955558793
PORTAGE PARK,24750,33000,0.75
ALBANY PARK,1500,3000,0.5
ALBANY PARK,4475,8950,0.5
NEAR WEST SIDE,80779.88,208519.2,0.3873978031759186
HUMBOLDT PARK,198712.5,264950,0.75
WASHINGTON PARK,83280,111040,0.75
WEST PULLMAN,28070.25,37427,0.75
CHATHAM,88462.5,117950,0.75
JEFFERSON PARK,94909.16,126545.55,0.7499999802442678
PORTAGE PARK,100000,432488.25,0.2312201545359903
AUBURN GRESHAM,39765,53850,0.7384401114206128
BEVERLY,98892.75,131857,0.75
BELMONT CRAGIN,82753.13,110337.5,0.7500000453155092
WEST RIDGE,27069.48,54138.96,0.5
MCKINLEY PARK,150000,490000,0.30612244897959184
MOUNT GREENWOOD,50000,150000,0.3333333333333333
HERMOSA,23523.5,94094,0.25
LOWER WEST SIDE,100000,209500,0.477326968973747
NEAR WEST SIDE,150000,1422390,0.10545630945099445
EAST GARFIELD PARK,50000,122000,0.4098360655737705
EDGEWATER,150000,466733,0.32138288914647134
BELMONT CRAGIN,56182.5,77365.66,0.7261942830966607
AVALON PARK,46995.75,67689.75,0.6942816305275171
CHATHAM,5539.5,11079,0.5
HERMOSA,36249.45,48982.6,0.7400474862502194
ROGERS PARK,76512.23,102016.3,0.7500000490117755
HUMBOLDT PARK,34089,68178,0.5
NORTH LAWNDALE,110000,244572,0.4497653042866722
EDGEWATER,15804.03,21072.04,0.75
LINCOLN SQUARE,10828.15,21942.55,0.4934772850010596
NORTH PARK,62500,87200,0.716743119266055
AVONDALE,88757.81,118343.75,0.749999978875099
CLEARING,86630.4,94256,0.9190969275165506
LINCOLN SQUARE,51306.76,93285,0.5500001071983706
HERMOSA,174740,349480,0.5
BEVERLY,33713.5,67427,0.5
PORTAGE PARK,133903,486920,0.275
HYDE PARK,37155,74310,0.5
JEFFERSON PARK,100000,173375,0.5767844268204758
NEAR WEST SIDE,41506.5,83013,0.5
EAST GARFIELD PARK,100000,506934,0.19726433815841904
NEAR WEST SIDE,150000,636240,0.23576009053187477
NEAR WEST SIDE,95858,127810.67,0.7499999804398177
BEVERLY,147920.59,164365.21,0.8999507255823784
NEW CITY,100000,144100,0.6939625260235948
HUMBOLDT PARK,97462.5,129950,0.75
LOWER WEST SIDE,92400,184800,0.5
WEST GARFIELD PARK,78461.62,165000,0.47552496969696967
NEAR WEST SIDE,33619.03,76122.35,0.44164466809025205
